name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Nelson, NSN, NZ",19/01/2024,23.6,19.1,21.4,23.6,19.1,21.4,19.4,88.7,1.2,100,8.33,rain,0,0,40.7,37.1,40.9,1016.1,95.9,12.3,257.7,22.4,8,10,2024-01-19T06:15:30,2024-01-19T20:58:37,0.26,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,93546099999
"Nelson, NSN, NZ",20/01/2024,25.9,20.6,22.8,25.9,20.6,22.8,19.9,84.4,4,100,8.33,rain,0,0,27,40.7,29.8,1012.4,96,11.9,216.8,18.7,9,10,2024-01-20T06:16:42,2024-01-20T20:58:02,0.3,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,93546099999
"Nelson, NSN, NZ",21/01/2024,25.4,18.2,21.4,25.4,18.2,21.4,18.7,85.4,0,0,0,,0,0,20.2,25.9,17.9,1014,33.5,15,355.6,30.7,10,10,2024-01-21T06:17:55,2024-01-21T20:57:24,0.33,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",22/01/2024,25.9,19.1,21.6,25.9,19.1,21.6,18.8,84.4,0,0,0,rain,0,0,11.9,25.9,18.6,1004.9,50.8,16,286.3,24.6,9,10,2024-01-22T06:19:08,2024-01-22T20:56:44,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",23/01/2024,23.9,15.4,20.3,23.9,15.4,20.3,12.9,65.9,17.2,100,12.5,rain,0,0,36,44.6,251.2,995.8,24.8,18.8,343.2,29.6,10,10,2024-01-23T06:20:22,2024-01-23T20:56:02,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,93546099999
"Nelson, NSN, NZ",24/01/2024,21.4,9.6,15.8,21.4,9.2,15.7,6.4,54.9,0,0,0,,0,0,31.3,31.7,262.4,1009.6,13,19.2,364.2,31.6,10,10,2024-01-24T06:21:36,2024-01-24T20:55:18,0.44,Clear,Clear conditions throughout the day.,clear-day,93546099999
"Nelson, NSN, NZ",25/01/2024,21.7,11.2,16.8,21.7,11.2,16.8,9,61.4,0,0,0,,0,0,15.5,22.3,306.6,1014.9,14.5,20,366.3,31.5,10,10,2024-01-25T06:22:51,2024-01-25T20:54:33,0.47,Clear,Clear conditions throughout the day.,clear-day,93546099999
"Nelson, NSN, NZ",26/01/2024,21.2,11.4,16.8,21.2,11.4,16.8,11.2,69.8,0,0,0,,0,0,17.3,27.7,31.6,1010.6,55.2,19.2,327.4,28.3,10,10,2024-01-26T06:24:07,2024-01-26T20:53:45,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",27/01/2024,27.4,17.9,21.9,26.7,17.9,21.8,13.2,62.9,4.2,100,8.33,rain,0,0,54,51.8,323.1,999.5,49.8,15.6,276,23.8,10,10,2024-01-27T06:25:22,2024-01-27T20:52:55,0.54,"Rain, Partially cloudy",Clearing in the afternoon with rain in the morning and afternoon.,rain,93546099999
"Nelson, NSN, NZ",28/01/2024,20.9,13.7,17.9,20.9,13.7,17.9,11.3,65.9,0,0,0,,0,0,31.3,31.7,22.5,1001.2,79.6,17.5,263.6,22.8,9,10,2024-01-28T06:26:38,2024-01-28T20:52:03,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93546099999,7JLP"
"Nelson, NSN, NZ",29/01/2024,22.7,15.4,19.1,22.7,15.4,19.1,13.5,70.4,0,0,0,,0,0,22.7,33.5,8.6,1002.2,13.8,18,358.6,30.9,10,10,2024-01-29T06:27:55,2024-01-29T20:51:10,0.61,Clear,Clear conditions throughout the day.,clear-day,"93546099999,7JLP"
"Nelson, NSN, NZ",30/01/2024,22.2,13.4,18.5,22.2,13.4,18.5,14.1,76.3,0,0,0,,0,0,21.2,26.7,12,1008.3,9.7,17.9,357.3,30.9,10,10,2024-01-30T06:29:11,2024-01-30T20:50:14,0.64,Clear,Clear conditions throughout the day.,clear-day,"93546099999,7JLP"
"Nelson, NSN, NZ",31/01/2024,22.4,14.4,18.8,22.4,14.4,18.8,15,79.3,0,0,0,,0,0,20.5,25.9,17.7,1007.6,23.3,17.4,351.3,30.4,10,10,2024-01-31T06:30:28,2024-01-31T20:49:17,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93546099999,7JLP"
"Nelson, NSN, NZ",1/02/2024,24.1,15.9,20.3,24.1,15.9,20.3,12.6,62.5,0,0,0,,0,0,29.9,33.5,356.1,998.8,38.1,17,345.4,29.9,10,10,2024-02-01T06:31:45,2024-02-01T20:48:18,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93546099999,7JLP"
"Nelson, NSN, NZ",2/02/2024,19.7,12.8,18,19.7,12.8,18,11.8,68.5,3,100,4.17,rain,0,0,66.6,50,323.3,987.6,77.9,16.5,165.3,14.2,7,10,2024-02-02T06:33:02,2024-02-02T20:47:17,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"93546099999,remote,7JLP"
"Nelson, NSN, NZ",3/02/2024,19.4,8.9,14.1,19.4,7.8,14,8,69.3,2,100,12.5,rain,0,0,58.3,40.7,222.7,989.3,29.2,19.2,264.9,22.8,10,10,2024-02-03T06:34:19,2024-02-03T20:46:15,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,93546099999
