name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Nelson, NSN, NZ",6/02/2023,25.1,15.7,20.5,25.1,15.7,20.5,15.3,73.8,1,100,4.17,rain,0,0,37.4,37.1,249.8,1006,11.9,14.8,326.9,28.1,10,10,2023-02-06T06:38:28,2023-02-06T20:42:41,0.5,Rain,Clear conditions throughout the day with early morning rain.,rain,"93546099999,remote"
"Nelson, NSN, NZ",7/02/2023,25.1,17.4,20.9,25.1,17.4,20.9,12.9,60.9,0,0,0,,0,0,37.1,27.7,239.7,1004.8,5.2,19.3,342.8,29.5,10,10,2023-02-07T06:39:45,2023-02-07T20:41:32,0.54,Clear,Clear conditions throughout the day.,clear-day,"93546099999,remote"
"Nelson, NSN, NZ",8/02/2023,24.9,17.6,20.5,24.9,17.6,20.5,10,52.1,0,0,0,,0,0,42.5,37.1,230.5,1003,0.3,19.6,343.4,29.6,10,10,2023-02-08T06:41:02,2023-02-08T20:40:21,0.58,Clear,Clear conditions throughout the day.,clear-day,93546099999
"Nelson, NSN, NZ",9/02/2023,21.4,14.4,17.8,21.4,14.4,17.8,8.3,54.4,0.2,100,4.17,rain,0,0,44.3,35.3,268.1,1009.1,21.4,18.2,315.1,27.2,10,10,2023-02-09T06:42:18,2023-02-09T20:39:09,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"93546099999,remote"
"Nelson, NSN, NZ",10/02/2023,20.7,14.2,17.4,20.7,14.2,17.4,12.1,71.7,0.4,100,4.17,rain,0,0,13.3,14.8,354.5,1017.7,54,16.8,295.6,25.7,9,10,2023-02-10T06:43:35,2023-02-10T20:37:56,0.64,"Rain, Partially cloudy",Clearing in the afternoon with afternoon rain.,rain,93546099999
"Nelson, NSN, NZ",11/02/2023,22.1,12.1,17.6,22.1,12.1,17.6,13.4,77.4,0.2,100,4.17,rain,0,0,15.1,18.4,315.7,1017.4,82.5,17.9,301.4,25.9,10,10,2023-02-11T06:44:51,2023-02-11T20:36:41,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,93546099999
"Nelson, NSN, NZ",12/02/2023,23.2,14.7,19.3,23.2,14.7,19.3,10.8,59.9,0,0,0,,0,0,29.2,29.5,118.6,1012.1,100,19.2,223.8,19.2,7,10,2023-02-12T06:46:08,2023-02-12T20:35:25,0.71,Overcast,Cloudy skies throughout the day.,cloudy,93546099999
"Nelson, NSN, NZ",13/02/2023,23.1,16.2,19.8,23.1,16.2,19.8,9.5,51.8,0,0,0,,0,0,44.6,24.1,149.3,1005.3,99.1,19.6,238.4,20.8,8,10,2023-02-13T06:47:24,2023-02-13T20:34:07,0.75,Overcast,Cloudy skies throughout the day.,cloudy,93546099999
"Nelson, NSN, NZ",14/02/2023,22.9,15.6,20,22.9,15.6,20,10.4,54.6,0.2,100,4.17,rain,0,0,48.2,25.9,206.1,995.8,100,19.8,77.8,6.7,3,10,2023-02-14T06:48:39,2023-02-14T20:32:48,0.75,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"93546099999,remote"
"Nelson, NSN, NZ",15/02/2023,22.2,15.1,19,22.2,15.1,19,14.1,73.8,0,0,0,rain,0,0,16.6,25.9,26.7,997.6,84.4,17.9,191.3,16.5,7,10,2023-02-15T06:49:55,2023-02-15T20:31:28,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,93546099999
